OBJECTID,Neighborhood,LAPD_Cost,LAPD_Days in Jail,LAPD_Arrests,LASD_Cost,LASD_Days in Jail,LASD_Arrests,2010 Population,Combo_Cost,Combo_Cost_PerPop,Combo_Days,Combo_Days_PerPop,Combo_Arrests,Combo_Arrests_PerPop,spa,sup_dist,Shape__Area,Shape__Length
41,Citrus,18847,82,38,2143790,14372,747,17532,2162637,123.353696098563,14454,0.824435318275154,785,0.0447752680812229,SPA 3 - San Gabriel,District 1,28200413.3056641,56465.1918684647
42,Claremont,19766,86,46,193601,1099,149,37361,213367,5.71095527421643,1185,0.0317175664462943,195,0.0052193463772383,SPA 3 - San Gabriel,District 5,464501058.518555,134386.923626601
43,Commerce,102279,445,207,2596810,17399,909,13158,2699089,205.129122967016,17844,1.35613315093479,1116,0.0848153214774282,SPA 7 - East,District 4,183455634.94043,93160.8913448744
44,Compton,1338818,5825,2575,34228400,231297,11177,101456,35567218,350.567911212742,237122,2.3371905062293,13752,0.135546443778584,SPA 6 - South,District 2,286043791.12793,170489.497295437
45,Covina,92396,402,197,3138360,20780,1200,53063,3230756,60.8852873000019,21182,0.399185873395775,1397,0.0263271959745962,SPA 3 - San Gabriel,District 1,211988045.115234,132757.046691169
46,Cudahy,109634,477,224,4031130,27424,1241,23805,4140764,173.945137576139,27901,1.17206469229154,1465,0.0615416929216551,SPA 7 - East,District 4,34263538.1679688,34729.08180152
47,Culver City,388430,1690,849,339417,2120,182,36672,727847,19.8474858202443,3810,0.103893979057592,1031,0.028114092495637,SPA 5 - West,District 2,144765839.306641,116903.099852947
48,Cypress Park,433938,1888,822,246938,1619,101,8876,680876,76.7097791798107,3507,0.395110410094637,923,0.103988283010365,SPA 4 - Metro,District 1,20196836.3408203,28566.0254429908
49,Del Aire,51024,222,110,658662,4173,329,10261,709686,69.1634343631225,4395,0.428320826430172,439,0.0427833544488841,SPA 8 - South Bay,District 2,27594846.8349609,34295.8462719299
50,Del Rey,689750,3001,1498,292751,1787,174,29466,982501,33.3435484965723,4788,0.162492364080635,1672,0.0567433652345076,SPA 5 - West,District 2,68375896.6660156,50159.4652581585
